"K1","K2","K3","sp1","sp2","sp3","surv_sp"
0.898092065123043,0.369924375152169,0.237879379584078,1,1,1,"1_3"
0.834441859598382,0.53303577853089,0.139927273095569,1,1,1,"1_2_3"
0.59899528077119,0.0375120688867611,0.799873426425505,1,1,1,"1_3"
0.0238139000014293,0.495487233813305,0.868288718857248,1,1,1,"2_3"
0.976128771454804,0.195940266889897,0.093701832155252,1,1,1,"1_3"
0.231568948673209,0.103505163876562,0.967296491806556,1,1,1,"3"
0.874241839150444,0.472900618215649,0.109846310680451,1,1,1,"1_2_3"
0.823581717659123,0.0794853875112305,0.561600594292633,1,1,1,"1_3"
0.96672792016282,0.219579972597729,0.13123171877122,1,1,1,"1_3"
0.912927925837816,0.238228515193293,0.331375582646432,1,1,1,"1_3"
0.341790290480533,0.528941690735634,0.776788314236872,1,1,1,"1_2_3"
0.322102582293121,0.267105114387022,0.90824269022569,1,1,1,"1_3"
0.293006167806309,0.31782562334517,0.901739573697814,1,1,1,"1_3"
0.086571792141578,0.493698255255652,0.865313444690951,1,1,1,"2_3"
0.439553370875784,0.421315016783286,0.793275797427752,1,1,1,"1_3"
0.252806729628733,0.473930481277051,0.843491942090099,1,1,1,"1_2_3"
0.50858578928028,0.772873174570252,0.379483268368784,1,1,1,"1_2_3"
0.41834412398949,0.840984435110004,0.343122971871855,1,1,1,"1_2_3"
0.121479039615141,0.374274478387771,0.919326632792581,1,1,1,"3"
0.0298650649241014,0.995056855691213,0.0947097240994599,1,1,1,"2"
0.515399659207464,0.259963954636704,0.816567164156431,1,1,1,"1_3"
0.684238109711491,0.355524648833813,0.636726340973923,1,1,1,"1_3"
0.235196641725276,0.727272634443236,0.644792257173695,1,1,1,"2_3"
0.567094144358209,0.820591706618574,0.0709470398497881,1,1,1,"1_2"
0.494071317465547,0.755565066618058,0.430133657558099,1,1,1,"1_2_3"
0.543501294234525,0.718603536996342,0.433837872691797,1,1,1,"1_2_3"
0.428036132029368,0.531450167851224,0.730989595526669,1,1,1,"1_2_3"
0.86474355179113,0.296517104652011,0.40533467194955,1,1,1,"1_3"
0.87853660930513,0.450178909585364,0.159725938642343,1,1,1,"1_2_3"
0.145400495409702,0.7425665590438,0.653799358614295,1,1,1,"2_3"
0.865406230710499,0.296012522399085,0.404287821273876,1,1,1,"1_3"
0.703514426826237,0.561749786481846,0.435321293569418,1,1,1,"1_2_3"
0.612284426368311,0.789452566876942,0.0432715365828031,1,1,1,"1_2"
0.379635339320323,0.697988164197065,0.607198099288819,1,1,1,"1_2_3"
0.454695290199924,0.83780778540735,0.302209046490733,1,1,1,"1_2"
0.233381237651983,0.933968719568473,0.270620821038693,1,1,1,"2"
