"comm","param","n_sp_pruned","n_sp_pool","mean_comp_strength_pool","mean_comp_strength","Omega_pool","omega_pool","Omega_obs","omega_obs","Omega_percentile","omega_percentile","Omega_expect_comm","omega_expect_comm","comp_strength_expect"
1,0.05,19,20,0.0228985208044889,0.0157875233195199,0.00244229391131342,0.740269568259426,0.0269900028407781,0.826859524154144,0.208,0.208,0.0293580752155888,0.830145807641768,0.0153824200647536
1,0.05,15,20,0.0228985208044889,0.0126107733190964,0.00244229391131342,0.740269568259426,0.15391564552294,0.882711635319231,0.942,0.942,0.104370684698589,0.858281700524952,0.0160474555061915
1,0.05,15,20,0.0228985208044889,0.0143426567461241,0.00244229391131342,0.740269568259426,0.122290699890897,0.869279748493741,0.744,0.744,0.103634174460595,0.857907856583681,0.016084049607861
1,0.05,15,20,0.0228985208044889,0.0131729611678695,0.00244229391131342,0.740269568259426,0.143451754345907,0.878578135118842,0.928,0.928,0.10304361764758,0.857560579537929,0.0161189761076485
1,0.05,16,20,0.0228985208044889,0.014566989230236,0.00244229391131342,0.740269568259426,0.0902205165255627,0.860412243771456,0.766,0.766,0.0762797495788481,0.849733892539228,0.0160054721592038
1,0.05,13,20,0.0228985208044889,0.013572917702253,0.00244229391131342,0.740269568259426,0.219509912194281,0.889902907795796,0.79,0.79,0.174230279831554,0.871316628791405,0.0167776110953065
1,0.05,15,20,0.0228985208044889,0.014138328850817,0.00244229391131342,0.740269568259426,0.137584815723445,0.876135680145994,0.844,0.844,0.103340476117521,0.857398807651228,0.0161491837625505
1,0.05,17,20,0.0228985208044889,0.0145616009085335,0.00244229391131342,0.740269568259426,0.0660399120891247,0.85226931442386,0.77,0.77,0.0563598766468045,0.843209950036489,0.0157504695316261
1,0.05,16,20,0.0228985208044889,0.014625095916945,0.00244229391131342,0.740269568259426,0.0894303261085068,0.859939307622634,0.716,0.716,0.0774565231542543,0.850466962586815,0.0159342724003821
1,0.05,15,20,0.0228985208044889,0.0151856555898757,0.00244229391131342,0.740269568259426,0.110979787582182,0.863673496467006,0.642,0.642,0.102608003082183,0.856970395135885,0.0162133005140043
1,0.05,15,20,0.0228985208044889,0.0123573638684557,0.00244229391131342,0.740269568259426,0.169666991054831,0.888463976890163,0.99,0.99,0.100571886366207,0.856088512254908,0.016316821483528
1,0.05,16,20,0.0228985208044889,0.0137080503703381,0.00244229391131342,0.740269568259426,0.0998098517727968,0.865861318030362,0.87,0.87,0.0772154171398972,0.850377108859609,0.0159473756478646
