"comm","param","n_sp_pruned","n_sp_pool","mean_comp_strength_pool","mean_comp_strength","Omega_pool","omega_pool","Omega_obs","omega_obs","Omega_percentile","omega_percentile","Omega_expect_comm","omega_expect_comm","comp_strength_expect"
1,0.025,18,20,0.0133238613231971,0.00778670423049393,0.0291651125752085,0.837998387319118,0.19554494127858,0.913323874370268,0.97,0.97,0.135777953546004,0.893951989579065,0.00966152144154371
1,0.025,16,20,0.0133238613231971,0.00762107978684821,0.0291651125752085,0.837998387319118,0.276692004781314,0.92283655256744,0.89,0.89,0.201231112144037,0.90263745935085,0.00996939857040709
1,0.025,15,20,0.0133238613231971,0.00767005390421731,0.0291651125752085,0.837998387319118,0.32657421124123,0.928108590400576,0.88,0.88,0.242146882559745,0.907472235110163,0.0100979377421703
1,0.025,18,20,0.0133238613231971,0.00897432434799775,0.0291651125752085,0.837998387319118,0.156532710504873,0.902102401980786,0.758,0.758,0.132911872055894,0.892848036340091,0.00976796544672762
1,0.025,18,20,0.0133238613231971,0.00940073424108164,0.0291651125752085,0.837998387319118,0.142794842055369,0.897510595816173,0.604,0.604,0.136367094769909,0.894134625783386,0.00964614454170254
1,0.025,17,20,0.0133238613231971,0.00675417855789112,0.0291651125752085,0.837998387319118,0.284660035737281,0.928755842530965,0.988,0.988,0.166512419964477,0.898396096522332,0.00979357667579148
1,0.025,15,20,0.0133238613231971,0.00698467670548721,0.0291651125752085,0.837998387319118,0.361131108210133,0.934353019404381,0.936,0.936,0.245184177868735,0.908196130917887,0.0100266124325656
1,0.025,17,20,0.0133238613231971,0.00687045617540827,0.0291651125752085,0.837998387319118,0.27746148139787,0.927357561958728,0.982,0.982,0.169030342293445,0.899069562863958,0.00973081131372965
1,0.025,16,20,0.0133238613231971,0.00710876504835216,0.0291651125752085,0.837998387319118,0.301474946994529,0.927797508038023,0.944,0.944,0.201866679475588,0.902948542893698,0.00993195661344524
1,0.025,17,20,0.0133238613231971,0.00819537763930163,0.0291651125752085,0.837998387319118,0.208389615348222,0.911872013038132,0.856,0.856,0.164269957848501,0.897559814823046,0.00987766092291559
1,0.025,17,20,0.0133238613231971,0.00708605059277487,0.0291651125752085,0.837998387319118,0.266539199226024,0.925169358398155,0.986,0.986,0.167845893736751,0.8989737887438,0.00973943608916739
1,0.025,15,20,0.0133238613231971,0.00566156414045781,0.0291651125752085,0.837998387319118,0.443090494470891,0.947180675387706,0.994,0.994,0.247113514412765,0.908580121403817,0.00997288013732107
1,0.025,16,20,0.0133238613231971,0.00659058434323836,0.0291651125752085,0.837998387319118,0.338523933028433,0.934543101736685,0.97,0.97,0.204392891899358,0.903559341038235,0.0098659795843082
1,0.025,19,20,0.0133238613231971,0.0085855248318378,0.0291651125752085,0.837998387319118,0.131952335434418,0.898889199348626,0.896,0.896,0.10533839093266,0.887781357415707,0.0097076024811756
1,0.025,17,20,0.0133238613231971,0.00746217691335662,0.0291651125752085,0.837998387319118,0.246887560758995,0.921010665282864,0.972,0.972,0.16044256882877,0.896504637540386,0.0099864090661746
1,0.025,16,20,0.0133238613231971,0.00647359095973436,0.0291651125752085,0.837998387319118,0.341485194924183,0.935051954783117,0.97,0.97,0.204934485650987,0.903817162255985,0.0098424976581839
1,0.025,17,20,0.0133238613231971,0.00805650693255116,0.0291651125752085,0.837998387319118,0.224626228559024,0.915905391715997,0.902,0.902,0.164728849973501,0.897840380153286,0.00985020662455594
1,0.025,18,20,0.0133238613231971,0.008659968186975,0.0291651125752085,0.837998387319118,0.161202857461581,0.903576967334325,0.806,0.806,0.133164731797608,0.892983030580147,0.00975248019531972
1,0.025,18,20,0.0133238613231971,0.00838165416545712,0.0291651125752085,0.837998387319118,0.172567746236677,0.907003302080759,0.876,0.876,0.135538766020235,0.893725760343868,0.00968463248534328
1,0.025,17,20,0.0133238613231971,0.00713141759351818,0.0291651125752085,0.837998387319118,0.264492574709505,0.924749962986773,0.978,0.978,0.1640182094128,0.897486590479805,0.00988884577567553
1,0.025,15,20,0.0133238613231971,0.010646471199631,0.0291651125752085,0.837998387319118,0.210612569614786,0.901361392939423,0.388,0.388,0.242451085621557,0.907591134754106,0.0100907330737052
1,0.025,17,20,0.0133238613231971,0.00870984293519778,0.0291651125752085,0.837998387319118,0.193666185630578,0.907950115414391,0.762,0.762,0.166812598833863,0.898550738563734,0.00977690746656901
1,0.025,17,20,0.0133238613231971,0.00757629981344581,0.0291651125752085,0.837998387319118,0.242019514031154,0.919932378825799,0.95,0.95,0.164567877107507,0.897781896850299,0.00986083368587572
1,0.025,16,20,0.0133238613231971,0.00729193617402827,0.0291651125752085,0.837998387319118,0.297676810193822,0.927062603820431,0.932,0.932,0.203433258564231,0.903299919532911,0.00989065934324211
1,0.025,16,20,0.0133238613231971,0.00495539259400436,0.0291651125752085,0.837998387319118,0.445389311911067,0.950706004688901,1,1,0.198479415951196,0.901916863150358,0.010050099357785
1,0.025,16,20,0.0133238613231971,0.00845598808567143,0.0291651125752085,0.837998387319118,0.246294204659019,0.916148525707455,0.786,0.786,0.204013660876624,0.903591940047637,0.00986474413107359
1,0.025,19,20,0.0133238613231971,0.0085855248318378,0.0291651125752085,0.837998387319118,0.131978860766621,0.898898708789033,0.894,0.894,0.104997859337686,0.887594602957325,0.00972553531052824
1,0.025,20,20,0.0133238613231971,0.00961151039976084,0.0291651125752085,0.837998387319118,0.0834430848600103,0.88322126644068,0.018,0.018,0.0835015515199183,0.883252196590916,0.00961151039976084
1,0.025,19,20,0.0133238613231971,0.0091766273207686,0.0291651125752085,0.837998387319118,0.11851914731578,0.893824032085365,0.74,0.74,0.104887951598915,0.887522788947298,0.00972899448614439
1,0.025,18,20,0.0133238613231971,0.00723754952902626,0.0291651125752085,0.837998387319118,0.220166440908839,0.919361204789294,1,1,0.133169788797509,0.892944540418304,0.00975687181568023
1,0.025,18,20,0.0133238613231971,0.00723754952902626,0.0291651125752085,0.837998387319118,0.220126199294154,0.919351868475663,0.998,0.998,0.13217476125586,0.892604511499421,0.00979053238869818
1,0.025,19,20,0.0133238613231971,0.00869270203183534,0.0291651125752085,0.837998387319118,0.134020039299546,0.899625102781143,0.92,0.92,0.106067920436826,0.888075868955452,0.00967988879885148
1,0.025,17,20,0.0133238613231971,0.0106757637796502,0.0291651125752085,0.837998387319118,0.138985853965267,0.890402777124703,0.318,0.318,0.16572472024651,0.898076890588534,0.00982893186695914
1,0.025,19,20,0.0133238613231971,0.00871147398679998,0.0291651125752085,0.837998387319118,0.128138625403412,0.897502759752628,0.836,0.836,0.105636553741731,0.887846613009133,0.00970424230214995
1,0.025,20,20,0.0133238613231971,0.00961151039976084,0.0291651125752085,0.837998387319118,0.0835791040145025,0.883293196960306,1,1,0.0835028095705303,0.883252861948306,0.00961151039976084
1,0.025,16,20,0.0133238613231971,0.005724532346949,0.0291651125752085,0.837998387319118,0.394900382341913,0.943583791490738,1,1,0.202332034369225,0.903103321134965,0.00991755346557709
1,0.025,17,20,0.0133238613231971,0.00762053945378701,0.0291651125752085,0.837998387319118,0.239727689135387,0.919417647076123,0.936,0.936,0.166388529318639,0.898340245957531,0.00979130237821031
1,0.025,16,20,0.0133238613231971,0.00832150943141054,0.0291651125752085,0.837998387319118,0.243118467259608,0.915405719971878,0.736,0.736,0.206901474131064,0.904132061785908,0.00981255532561578
1,0.025,17,20,0.0133238613231971,0.00761252499811195,0.0291651125752085,0.837998387319118,0.240071422022453,0.91949514212073,0.912,0.912,0.166845895203256,0.898342242821111,0.0097991829689167
1,0.025,19,20,0.0133238613231971,0.00988891214192615,0.0291651125752085,0.837998387319118,0.0995047569064376,0.88563534203261,0.386,0.386,0.106090379240969,0.888080263854074,0.00967716969923846
1,0.025,16,20,0.0133238613231971,0.00838765483676552,0.0291651125752085,0.837998387319118,0.2522550241195,0.917518836590547,0.838,0.838,0.203579724649441,0.903565477725144,0.00986531566697357
1,0.025,17,20,0.0133238613231971,0.00658454378402756,0.0291651125752085,0.837998387319118,0.292142534547198,0.930174435909046,0.986,0.986,0.165709480234614,0.898148926177343,0.00981210355263174
1,0.025,17,20,0.0133238613231971,0.00744683736270525,0.0291651125752085,0.837998387319118,0.250031730842588,0.921696521939038,0.966,0.966,0.167171806055557,0.898717428786052,0.00975925621611696
1,0.025,18,20,0.0133238613231971,0.00792919366068918,0.0291651125752085,0.837998387319118,0.189623141303415,0.911764863872814,0.94,0.94,0.134352165848937,0.893454052354112,0.00970990200967266
1,0.025,18,20,0.0133238613231971,0.00784215756800662,0.0291651125752085,0.837998387319118,0.193195313289,0.912710703723164,0.954,0.954,0.133995488931544,0.893225575997143,0.00973537575790455
