"comm","param","n_sp_pruned","n_sp_pool","mean_comp_strength_pool","mean_comp_strength","Omega_pool","omega_pool","Omega_obs","omega_obs","Omega_percentile","omega_percentile","Omega_expect_comm","omega_expect_comm","comp_strength_expect"
1,0.1,9,20,0.100000000174209,0.0844501467049204,7.66831449933687e-20,0.110722273776113,0.000254785209578854,0.398736528716577,0.23,0.23,0.00767503979409309,0.493274814716448,0.0991822565548513
1,0.1,10,20,0.100000000174209,0.0467928217382995,7.66831449933687e-20,0.110722273776113,0.0435339860626142,0.730941875762942,0.988,0.988,0.00294101637909098,0.456594333399068,0.0984211754119783
1,0.1,10,20,0.100000000174209,0.0755372038226339,7.66831449933687e-20,0.110722273776113,0.00199099931117745,0.536916945672622,0.734,0.734,0.00267384724621508,0.456491458361841,0.0989093589823865
1,0.1,11,20,0.100000000174209,0.0477285254735936,7.66831449933687e-20,0.110722273776113,0.0140582975353377,0.678625615001751,1,1,0.000564740014785907,0.418673272465734,0.0995400943270596
1,0.1,8,20,0.100000000174209,0.0338446548162968,7.66831449933687e-20,0.110722273776113,0.280312122466141,0.853012185017345,0.994,0.994,0.0294798964067423,0.542716121413918,0.0978306036271878
1,0.1,8,20,0.100000000174209,0.0414586426842245,7.66831449933687e-20,0.110722273776113,0.19335910677855,0.814320895409772,0.974,0.974,0.0284455960216368,0.54508041144639,0.0971602982676722
1,0.1,9,20,0.100000000174209,0.0500437110206322,7.66831449933687e-20,0.110722273776113,0.0521046349986331,0.720162836976944,0.96,0.96,0.00919246195883823,0.48626213415178,0.101323242857634
1,0.1,11,20,0.100000000174209,0.052163400578298,7.66831449933687e-20,0.110722273776113,0.0122525901404781,0.670197088667609,1,1,0.000558086233415003,0.41877969278759,0.0985858517502173
1,0.1,10,20,0.100000000174209,0.0483601589034426,7.66831449933687e-20,0.110722273776113,0.0294690501937461,0.702969712555802,0.99,0.99,0.00198491976276666,0.444558461759105,0.101706359357097
1,0.1,11,20,0.100000000174209,0.0748076674669211,7.66831449933687e-20,0.110722273776113,0.000952102105628715,0.531293944454135,0.86,0.86,0.000514921358983452,0.417715682237597,0.098412173849596
1,0.1,10,20,0.100000000174209,0.0406958440510546,7.66831449933687e-20,0.110722273776113,0.0699699891509133,0.766462975220967,1,1,0.00253569021566247,0.453621335698016,0.0994542890953644
1,0.1,11,20,0.100000000174209,0.0758693381875015,7.66831449933687e-20,0.110722273776113,0.000132287639020707,0.444028496003004,0.614,0.614,0.000659311088069465,0.414166888463673,0.0995533219985342
1,0.1,12,20,0.100000000174209,0.0774827867705343,7.66831449933687e-20,0.110722273776113,3.92152310014259e-05,0.429326699868083,0.672,0.672,0.000127427420131098,0.38230950121288,0.100410157084849
1,0.1,12,20,0.100000000174209,0.0597184226921918,7.66831449933687e-20,0.110722273776113,0.00156275258969936,0.583656758637568,0.988,0.988,0.000118890506597593,0.380707510304188,0.100148534027499
1,0.1,8,20,0.100000000174209,0.0363971998326118,7.66831449933687e-20,0.110722273776113,0.209172288778771,0.82236197062253,0.98,0.98,0.0289909559220083,0.538586820220476,0.0989361695424622
1,0.1,13,20,0.100000000174209,0.0865091641128633,7.66831449933687e-20,0.110722273776113,1.95604347970943e-05,0.434308517308636,0.85,0.85,1.71577855016925e-05,0.348553450491802,0.100041024736433
1,0.1,10,20,0.100000000174209,0.0487944583498696,7.66831449933687e-20,0.110722273776113,0.0430485452084176,0.730122694595192,0.996,0.996,0.0026144802538376,0.455075353182534,0.0998647702747297
1,0.1,8,20,0.100000000174209,0.0674387124379227,7.66831449933687e-20,0.110722273776113,0.0296075172677096,0.644058400155183,0.764,0.764,0.0301213109976022,0.548135496086216,0.0967848070955423
1,0.1,11,20,0.100000000174209,0.0938453600573474,7.66831449933687e-20,0.110722273776113,0.000172512801614493,0.454875816359082,0.69,0.69,0.000403803579206784,0.410016657461201,0.0998618518858054
1,0.1,7,20,0.100000000174209,0.0526785450997196,7.66831449933687e-20,0.110722273776113,0.143732376683737,0.757967628630982,0.878,0.878,0.0636712100724526,0.581018091213632,0.101982288169773
1,0.1,10,20,0.100000000174209,0.0715312796121001,7.66831449933687e-20,0.110722273776113,0.00645852818424878,0.603967202969991,0.886,0.886,0.00256525748742505,0.453636313441969,0.10003472247526
1,0.1,11,20,0.100000000174209,0.0680152275342892,7.66831449933687e-20,0.110722273776113,0.00180041639588213,0.562974146071558,0.904,0.904,0.000544351797205325,0.415703155598216,0.0992185675026103
1,0.1,8,20,0.100000000174209,0.0325916876775098,7.66831449933687e-20,0.110722273776113,0.280761922857636,0.853183162338307,0.99,0.99,0.0291545947057954,0.543762066797591,0.0965862664493814
1,0.1,10,20,0.100000000174209,0.0488917483092987,7.66831449933687e-20,0.110722273776113,0.0362075630570397,0.71759586840342,0.992,0.992,0.00214827557006461,0.444593142463215,0.100999890535983
1,0.1,9,20,0.100000000174209,0.0633180714936124,7.66831449933687e-20,0.110722273776113,0.0223222043739786,0.655430039883195,0.876,0.876,0.00944178603551182,0.489568469507751,0.100391922154817
1,0.1,8,20,0.100000000174209,0.0535829978147331,7.66831449933687e-20,0.110722273776113,0.0716035977179161,0.71922844562166,0.892,0.892,0.0260287574029055,0.534876882421417,0.100363235757043
1,0.1,11,20,0.100000000174209,0.0619320368634852,7.66831449933687e-20,0.110722273776113,0.00338572533196509,0.596242437824355,0.952,0.952,0.000581007733514528,0.417957991031656,0.0990916899174929
1,0.1,9,20,0.100000000174209,0.0449661293911739,7.66831449933687e-20,0.110722273776113,0.0653283040636351,0.738489964927761,0.982,0.982,0.00891240999303842,0.496443152243461,0.0976109512698763
1,0.1,10,20,0.100000000174209,0.0488050044706174,7.66831449933687e-20,0.110722273776113,0.0338328540605622,0.712744481691845,0.988,0.988,0.00252527285624487,0.455273196693638,0.0988935675605252
1,0.1,11,20,0.100000000174209,0.0678277633226218,7.66831449933687e-20,0.110722273776113,0.004907353964899,0.616704382904749,0.976,0.976,0.000581793560094168,0.414803524526312,0.100022390471459
1,0.1,11,20,0.100000000174209,0.0482686348524845,7.66831449933687e-20,0.110722273776113,0.0218407523809227,0.706357119456083,1,1,0.000616300676253333,0.426236031937717,0.0969171201995671
1,0.1,9,20,0.100000000174209,0.0544708205117996,7.66831449933687e-20,0.110722273776113,0.0515824990731665,0.719357388819011,0.956,0.956,0.00916061755959766,0.490094264016432,0.0985462790352107
1,0.1,11,20,0.100000000174209,0.0714508581408712,7.66831449933687e-20,0.110722273776113,0.00283685666580529,0.586731983807026,0.95,0.95,0.000555274740146514,0.413147889194741,0.0992996529160512
1,0.1,12,20,0.100000000174209,0.069343642738358,7.66831449933687e-20,0.110722273776113,0.000221397895306556,0.495942268259816,0.852,0.852,0.000121461873633947,0.389779518154966,0.0980890719191381
