"comm","param","Omega_pool","omega_pool","comp_strength_pool"
1,"1",5.76881150086687e-07,0.487589469338329,-0.000759096789017944
2,"1",5.85495347135484e-06,0.547489976408678,-0.0919393890765652
3,"1",7.69658050918094e-07,0.49466922330862,-0.00936914088858664
4,"1",4.1936827771983e-07,0.479876827237733,0.0304957311397133
5,"1",1.53501118581802e-06,0.512041990562205,-0.0603789992564892
6,"1",2.6130235177672e-07,0.468659220583234,0.0428127694885915
7,"1",4.93885140147768e-06,0.542851819703133,-0.0892538821340995
8,"1",8.50966890985493e-07,0.497159374746041,-0.0184928054929371
9,"1",2.6498479079257e-06,0.526212363074004,-0.0980167753469418
10,"1",1.36809196071852e-07,0.453738639530679,0.0679863029922763
11,"1",7.12774831354159e-07,0.4927738099602,-0.0108149096898386
12,"1",2.40330116539758e-07,0.466702803647802,0.0289942202410257
13,"1",2.87746467905039e-07,0.470923648493892,0.0181388077699688
14,"1",3.60875518327201e-07,0.476286060352102,0.0169701602664385
15,"1",8.26468889113722e-07,0.496433779950999,-0.0256787859019336
16,"1",3.24677867864785e-06,0.531584897827933,-0.0853134067393884
17,"1",5.87852377622645e-06,0.547599967837202,-0.141139630068135
18,"1",1.10943599010485e-07,0.449009068612058,0.095733935656423
19,"1",6.99117485233909e-07,0.4922973615666,-0.0251812339660603
20,"1",4.26249406628234e-07,0.480267489732676,0.0147873929839778
21,"1",1.51631714822964e-06,0.511728378939172,-0.0468114468923695
22,"1",1.59470786169363e-07,0.4572293040511,0.0619720740689619
23,"1",1.78976462672448e-06,0.515988230943157,-0.0610028329275169
24,"1",4.43976154947727e-07,0.481246941342902,-0.0129742212672689
25,"1",2.07543550593739e-06,0.519822965052209,-0.0884053563921536
26,"1",1.19662095117176e-07,0.450710660206215,0.045833828526485
27,"1",7.45433486120037e-07,0.493878868977415,-0.00335442832550538
28,"1",7.37897616482185e-07,0.493628021845322,-0.0158635157434773
29,"1",5.18830881734186e-07,0.485010667690714,0.00592993727276042
30,"1",3.457619643288e-06,0.533259818891842,-0.101659909253796
31,"1",4.95969887538245e-07,0.483919101869431,0.0148296702083454
32,"1",9.63314232101877e-08,0.4458496179526,0.0928144876533551
33,"1",5.95812612688747e-08,0.435266741911269,0.0977629796328431
34,"1",9.95575220454245e-07,0.501076117754997,-0.0344971874404376
35,"1",1.08836638581012e-06,0.503313704779882,-0.0257791214659996
36,"1",6.3123762537477e-07,0.489789695435563,-0.00221894615649396
37,"1",3.55468185246165e-07,0.475926663815753,0.0163403854269418
38,"1",1.02528020553941e-06,0.501813254959149,-0.0521027287092172
39,"1",5.96940272253595e-07,0.488423491625131,-0.026730039567865
40,"1",2.78214613078044e-07,0.470131116653656,0.0303006665915693
41,"1",3.67260919991754e-08,0.424862828323046,0.10394499697585
42,"1",8.42250641826341e-07,0.496903513464494,-0.0198330166904057
43,"1",2.52283981928106e-07,0.467836911463955,0.00186539831924385
44,"1",1.15767907749992e-06,0.504869818736847,-0.0331630028831755
45,"1",1.9821221811092e-06,0.518628670010637,-0.0582539709834396
46,"1",1.60123848989354e-07,0.457322744413251,0.0799166663617465
47,"1",2.74101998502562e-07,0.469781175317948,0.0397789822538356
48,"1",1.45696833394565e-07,0.455168821362756,0.0952661754833138
49,"1",1.46901611122819e-06,0.510918146457095,-0.0466623527425566
50,"1",5.66155165730321e-07,0.487132128019564,-0.0126366303198447
51,"1",1.64404057284692e-07,0.457926341709292,0.0298956164629312
52,"1",3.56478114864499e-07,0.47599418110594,0.0273355007269661
53,"1",2.57537767238263e-07,0.468319289607341,0.044915619334371
54,"1",2.94098858905962e-07,0.471438088260533,0.0333201936388909
55,"1",4.93921343323843e-07,0.483818966774646,0.00100200478731353
56,"1",2.22516246477792e-06,0.521636636912595,-0.066291131549471
57,"1",4.43279081315056e-07,0.48120913356997,0.00651654479874342
58,"1",9.35567632074514e-07,0.499521009889721,-0.0249821683280221
59,"1",1.47986189148674e-07,0.455523785955163,0.0651467520787994
60,"1",9.26582774558989e-07,0.49928004775732,-0.0184309612703628
61,"1",1.11950489930524e-06,0.504024096655538,-0.028566989520811
62,"1",1.46655287891334e-06,0.510875277167055,-0.0374667284770309
63,"1",1.43850753671389e-07,0.454878706184678,0.0484641371282049
64,"1",1.3470264682189e-07,0.453386731765176,0.0572175947185807
65,"1",1.80548176978091e-07,0.460076081175134,0.0509327117286984
66,"1",7.40861514573654e-07,0.493726970464634,-0.0258765593842735
67,"1",3.69893596496751e-08,0.425014591742724,0.11236832393177
68,"1",1.06547091558405e-06,0.502778942247926,-0.0328550645864955
69,"1",6.41580633694803e-07,0.490187872418734,-0.00695748713085146
