"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"late","9","2012",14,20,5.8854468199179e-05,0.614453428736118,0.00861491337371803,0.712062184810448,1,1,0.00174508629466562,0.632273208258246,0.040018315018315,0.052589460153393
"late","9","2013",12,32,1.27569086916196e-07,0.608912017270603,0.0651116717573579,0.796412810551072,1,1,0.00873491351057619,0.662275275888776,0.0300084175084175,0.0545477657348683
"late","9","2014",25,37,3.83420329124823e-09,0.592286399834307,6.89732011057276e-06,0.621651828350031,0.829,0.829,4.69265760141331e-06,0.608607783103368,0.0310438205585264,0.0318354050110361
"late","9","2016",12,18,5.3618806878006e-05,0.579081701007962,0.00252358964080734,0.607437446657816,0.377,0.377,0.00650854955171255,0.633171884527722,0.0570887445887446,0.0564623313394114
"late","9","2017",24,71,8.24969009964441e-21,0.521354257486979,2.47554066715266e-06,0.583986650235439,0.504,0.504,3.13597519818423e-05,0.603453139463876,0.0339530135725788,0.0288604628175176
"middle","4","2007",30,72,6.6969402201382e-18,0.577391659123239,3.35042086601599e-06,0.65690612636861,0.952,0.952,1.18283651003558e-06,0.627520749771302,0.022381284105422,0.0234031783091093
"middle","4","2008",41,119,8.22941124578136e-29,0.580757324085466,1.72773099251916e-07,0.684006759078198,1,1,6.25689287081604e-09,0.622947108407183,0.0134959349593496,0.0186414433585591
"middle","4","2009",35,102,3.34753179011513e-27,0.550095988020168,6.70567177661163e-08,0.623794021822716,0.733,0.733,9.01681149897431e-08,0.606956464562087,0.0187592653954493,0.0212265194303224
"middle","4","2010",27,81,6.44419063099264e-20,0.579530307212315,3.17193017173934e-05,0.681368977220357,0.988,0.988,6.81079415018643e-06,0.634813279814306,0.0204926700024739,0.0266398412629504
"middle","4","2011",30,77,1.1431521815771e-19,0.567546371306386,1.27849721540064e-05,0.686894427102732,0.995,0.995,1.23304984896515e-06,0.619143516236157,0.018482571068778,0.0243312392353682
"middle","4","2012",11,16,0.00057343313334519,0.62719873528971,0.0493062153562097,0.760628999093116,0.991,0.991,0.0121221779319608,0.661831398225736,0.0339393939393939,0.0573894403323949
"middle","4","2013",12,22,2.47766450110204e-05,0.617501895970157,0.0331988856487574,0.752939865673189,0.999,0.999,0.00733265414755372,0.656726893938444,0.0330808080808081,0.0550302776672826
"middle","4","2014",20,63,1.20258540077394e-15,0.579664152046522,0.000587539847897339,0.68936918485168,0.932,0.932,0.000214133249685776,0.638421307351161,0.0253863826232247,0.0341428757992136
"middle","4","2016",13,22,3.1395653341067e-05,0.624183452618874,0.00671194570205837,0.68050997411169,0.834,0.834,0.00418594446080391,0.649541793984578,0.0464324811490803,0.056048202212761
"middle","4","2017",31,74,3.51398483281845e-19,0.563143294649377,1.13809336740367e-07,0.59704317544233,0.566,0.566,2.14267403118565e-07,0.594082728064446,0.0221710992243952,0.0257316246799197
