"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","3","2009",22,36,4.77153715835684e-08,0.626079375714669,0.000950125943230241,0.728830296066043,0.999,0.999,0.00011033944405139,0.650562198567958,0.0218597540026111,0.0304999198723844
"initial","3","2010",35,50,1.7639811407061e-10,0.638160440398713,1.24830039980131e-06,0.678146310255112,1,1,2.33778794133198e-07,0.64241527596697,0.0181842024184703,0.0208542998946703
"initial","3","2011",22,32,3.28229073794902e-07,0.62716314997909,0.000486234305199242,0.706971770281924,0.991,0.991,0.000114165471893429,0.65496966208504,0.0237168435220383,0.0292446063613764
"initial","3","2012",8,15,0.00658853613374021,0.71546094002063,0.357979016976693,0.879492613587654,0.963,0.963,0.140844441783659,0.768847113877788,0.0229591836734694,0.0544193201144094
"initial","3","2013",15,19,0.0028096954559382,0.734038616246044,0.0405840468309699,0.807650916120286,0.924,0.924,0.0207356028127173,0.76406314149255,0.0174603174603175,0.0266588945578231
"initial","3","2014",14,22,0.000719488778924579,0.719676722101589,0.0965300655005074,0.846205609730763,1,1,0.0166751815816518,0.73741136925056,0.0173992673992674,0.0370990596247464
"initial","3","2016",4,5,0.213360937805667,0.734214542574642,0.341336375797587,0.764355937019837,0.399,0.399,0.36710242625585,0.772123859310037,0.126984126984127,0.114798611111111
"initial","3","2017",41,48,1.4066649837038e-12,0.566353130969989,1.23891671741809e-10,0.573280118785199,0.693,0.693,1.5505478394516e-09,0.576637712564866,0.0173132389290926,0.0181593298294028
"late","9","2007",18,26,5.93018006770137e-06,0.629454219656879,0.000735210302033557,0.66974850778273,0.924,0.924,0.000445550549421928,0.648045360440391,0.0364534702769997,0.0395973435584451
"late","9","2008",45,80,5.21675202179886e-20,0.574073503564133,6.41888277209914e-10,0.624771659300051,0.983,0.983,1.49464489542713e-10,0.597476592210649,0.0180629139193907,0.018392019627424
"late","9","2009",24,47,1.10265448268903e-11,0.584602157455055,3.01786171028369e-05,0.648118083264289,0.991,0.991,5.82150421181768e-06,0.600061483013181,0.0319730245948445,0.0356522794194779
"late","9","2010",29,55,7.89090367520666e-13,0.602487108857044,4.33121760606335e-06,0.653214049932008,0.886,0.886,2.07281489923499e-06,0.627831205149817,0.0251569210421717,0.0258243000139946
"late","9","2011",18,49,6.01012790237825e-12,0.590197855062651,0.000498207984536047,0.655424717799959,0.669,0.669,0.000495104376888821,0.644645912077859,0.0400366954318876,0.0379271475712498
"late","9","2012",14,16,0.00121062170208397,0.657185584359219,0.0086241747696738,0.712116835890828,1,1,0.00361406895654025,0.667292373469768,0.040018315018315,0.0473523442652119
"late","9","2013",12,29,9.2682162314733e-07,0.619391704755193,0.0650972994537872,0.7963981595106,1,1,0.00682265612394901,0.653013545868856,0.0300084175084175,0.0583557209221887
"late","9","2014",25,32,9.78918703794496e-08,0.603894163230545,6.44313685958798e-06,0.619960320702724,0.708,0.708,5.51784906248106e-06,0.614502591796486,0.0310438205585264,0.0322810634241753
"late","9","2016",12,15,0.000502628011050448,0.602674911137049,0.00253472185589779,0.607660293601509,0.125,0.125,0.00737826293563904,0.641048809337026,0.0570887445887446,0.0557017941027502
"late","9","2017",24,37,8.77781111329387e-11,0.534810133816209,2.48986500550963e-06,0.584127059225943,0.675,0.675,9.24077857466706e-06,0.576582206588371,0.0339530135725788,0.0311194691497795
"middle","4","2007",30,40,2.30077066492363e-09,0.608200584649645,3.60185542617646e-06,0.65849256524445,1,1,7.55729472833888e-07,0.623176028207515,0.022381284105422,0.0252584408220465
"middle","4","2008",41,56,1.09666750221194e-11,0.637216559086721,1.50077438164172e-07,0.681661347101601,0.981,0.981,4.02113499179198e-08,0.656027149430361,0.0134959349593496,0.0158604173411969
"middle","4","2009",35,53,1.40169048650044e-13,0.57211587986118,6.6394275242501e-08,0.623617104024268,0.686,0.686,1.25697230737147e-07,0.612911109612516,0.0187592653954493,0.0196812578126051
"middle","4","2010",27,38,2.53063589797233e-08,0.631080834534223,2.96024292781375e-05,0.679628188333221,0.907,0.907,1.48829172724443e-05,0.65712554615966,0.0204926700024739,0.0237654494489099
