"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","3","2012",8,15,7.94169133822077e-06,0.457082085510082,0.200499207521425,0.818020302427095,0.919,0.919,0.0645386741361178,0.638466380066683,0.0564642857142835,0.114217303571429
"initial","3","2013",15,19,2.74337943507314e-05,0.575320412401648,0.0474812620998382,0.816146552200795,1,1,0.00268990024874276,0.636512354442829,0.0190285714285714,0.0550163571428572
"initial","3","2014",14,22,1.1701940310426e-10,0.353636575453579,0.0432088191377964,0.798989156910958,1,1,0.000607171805711537,0.519010366402383,0.027445054945055,0.118732796703297
"initial","3","2016",4,5,0.0693266852797751,0.586381266474579,0.131187769962758,0.601829313726985,0.347,0.347,0.179037122713226,0.632391680114606,0.637083333333309,0.479719083333313
"initial","3","2017",41,48,1.53908373627208e-54,0.0756660907341315,1.08943306112174e-31,0.17571537736287,0.744744744744745,0.744744744744745,5.46465573129608e-19,0.169153188748584,0.0536048780487805,0.078709756097561
"late","9","2007",18,26,1.1129284223013e-20,0.170826967757263,2.23921151604506e-08,0.375841977413644,0.624,0.624,6.82202257692301e-08,0.358859596906092,0.127323529411765,0.137401676470588
"late","9","2008",45,80,0,0,0,0,0.151,0.151,1.34298153405644e-35,0.0487820929821839,0.165995454545455,0.108927327272727
"late","9","2009",24,47,0,0,1.35627986476817e-21,0.135056208926579,0.801404212637914,0.801404212637914,4.68481312265081e-16,0.096680163067184,0.22079347826087,0.236702139025773
"late","9","2010",29,55,0,0,5.94683001945119e-32,0.0838013905288184,0.0210420841683367,0.0210420841683367,4.76360627692226e-14,0.209360755205889,0.177162561576355,0.119427428749124
"late","9","2011",18,49,0,0,6.2156020068974e-10,0.307983070424385,0.109,0.109,3.26961634461801e-06,0.404012032518232,0.235058823529412,0.1479075
"late","9","2012",14,16,3.19074725556201e-07,0.392638855631584,6.57633115502833e-05,0.502671830400911,1,1,1.28318537482535e-05,0.430976291091277,0.120758241758242,0.166931802197802
"late","9","2013",12,29,3.40195980345579e-38,0.0510494022631684,0.00955888395967011,0.678735553720983,1,1,0.000162051207885119,0.424191817818797,0.109249999999997,0.180554113636364
"late","9","2014",25,32,0,0,1.59952535358019e-15,0.255952658702376,0.983983983983984,0.983983983983984,3.08551330974137e-16,0.151660019974775,0.15318,0.169793333333333
"late","9","2016",12,15,1.31301603383961e-07,0.347710657293944,9.33636987773439e-05,0.461510412639595,0.780780780780781,0.780780780780781,0.000139679938789304,0.430414047585986,0.204340909090909,0.216356060606061
"late","9","2017",24,37,3.35709430785489e-51,0.0432351382948289,6.91821890198902e-16,0.233524846786707,0.403,0.403,1.90891692338334e-09,0.266389814074581,0.171929347826087,0.135085793478261
"middle","4","2007",30,40,1.29888104894245e-35,0.134226799346477,6.70250276065e-13,0.392832942494619,0.996,0.996,1.01368016628144e-14,0.264844853086939,0.0666,0.0889477448275863
"middle","4","2008",41,56,3.8576774400519e-43,0.174828794387201,1.16312508417857e-14,0.45723264466988,0.994,0.994,5.83697664703558e-16,0.355359316655706,0.0304573170731708,0.0450280975609756
"middle","4","2009",35,53,4.25069986344765e-59,0.079186326635547,4.97910728842765e-15,0.390253840148425,0.878,0.878,5.8603296864651e-13,0.302173723061783,0.0604436974789916,0.0747176445378152
"middle","4","2010",27,38,1.00477389842588e-21,0.28017078772078,1.15864333953666e-08,0.508243945397507,0.961,0.961,2.27743095805668e-09,0.419549475559203,0.0469615384615385,0.0689139230769231
"middle","4","2011",30,42,1.87421604500883e-31,0.185524157431891,1.12636707335513e-10,0.466003664172362,0.937,0.937,1.25354714912912e-10,0.356600132171552,0.0620068965517242,0.0824427620689656
