"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","3","2007",22,125,7.09999607958918e-30,0.584534386916448,0.000885398071286408,0.726496575397967,1,1,6.77389911609168e-05,0.63087672158405,0.0204184704184704,0.0329523692921265
"initial","3","2008",35,152,8.6406605128012e-42,0.536841033245534,1.68220714187897e-07,0.640403503550576,0.901,0.901,6.41899364686033e-08,0.59974482452309,0.0175597511731965,0.0219692442347255
"initial","3","2009",22,181,4.18911355870418e-48,0.547323088132798,0.000962226045361488,0.729249654754644,0.995,0.995,0.000110052328542053,0.641959056782168,0.0218597540026111,0.0314602427149687
"initial","3","2010",35,167,7.24496200464878e-45,0.544112670195477,1.37432203766139e-06,0.680012372546617,1,1,5.5151709401267e-08,0.609154141960342,0.0181842024184703,0.023084149271275
"initial","3","2011",22,176,1.88835685982416e-47,0.542654245308582,0.000493828588628026,0.707469970499166,0.992,0.992,6.58083257436105e-05,0.628432044665044,0.0237168435220383,0.0330953214989641
"initial","3","2012",8,125,3.54323373249024e-31,0.570683345349902,0.35802618492601,0.87950709819076,0.982,0.982,0.0885455718838354,0.719153271870182,0.0229591836734694,0.0650355976468461
"initial","3","2013",15,112,9.63195141631221e-29,0.562153076554042,0.0406104663587129,0.80768595661514,1,1,0.00224690159562031,0.65281365426292,0.0174603174603175,0.0456803825463376
"initial","3","2014",14,126,3.18144621301564e-32,0.562368297382377,0.0965687366345903,0.846229819542216,1,1,0.00482433485072381,0.665812250151636,0.0173992673992674,0.0457307653623502
"initial","3","2016",4,85,1.89487858391046e-22,0.555190637779932,0.340823707832765,0.764068770363056,0.255,0.255,0.552980167111448,0.839226965843425,0.126984126984127,0.0761099866969546
"initial","3","2017",41,154,2.43942627153294e-44,0.520955430419183,9.43656892618417e-11,0.569486287297334,0.28,0.28,3.06834617935028e-09,0.594252094401193,0.0173132389290926,0.0188975207673759
"late","9","2007",18,161,1.02691741680237e-39,0.572579275050825,0.000739158786523857,0.669947831565282,0.992,0.992,0.000190427284494834,0.615950835939957,0.0364534702769997,0.046690102700217
"late","9","2008",45,229,1.30459319493389e-63,0.531367621927821,6.23381984159409e-10,0.62436562310578,0.997,0.997,7.12684548974993e-11,0.583022598697902,0.0180629139193907,0.0194050267222214
"late","9","2009",24,197,4.18404247630432e-52,0.548524359784167,3.01162096895811e-05,0.648062183439283,0.994,0.994,7.06847550433352e-06,0.603766673956547,0.0319730245948445,0.0352667468676797
"late","9","2010",29,223,3.33266424826461e-63,0.524605870319878,4.21776466583887e-06,0.652616443017044,0.974,0.974,9.40543784907759e-07,0.605472594970093,0.0251569210421717,0.0279566246202717
"late","9","2011",18,231,1.27705761103675e-64,0.528936465246401,0.000497698413324199,0.655387456812388,0.715,0.715,0.000427797307116086,0.634043849359752,0.0400366954318876,0.0401588794381235
"late","9","2012",14,171,4.83716060480005e-44,0.558076212809883,0.00862113333457477,0.712098894531566,0.993,0.993,0.00206204391140721,0.633794345603466,0.040018315018315,0.0554057752189309
"late","9","2013",12,186,5.64966520773723e-47,0.564098520693208,0.065059482672853,0.79635959513988,0.995,0.995,0.00795869534008264,0.653960333608642,0.0300084175084175,0.0588114377826718
"late","9","2014",25,169,2.17975178953645e-43,0.559196621304393,6.40046793921757e-06,0.61979557181613,0.821,0.821,4.37181762622464e-06,0.604859771470518,0.0310438205585264,0.0345174919110034
"late","9","2016",12,215,1.65812628111166e-60,0.527171240760565,0.00254112780258173,0.60778812280551,0.115,0.115,0.0127413859640715,0.674396348749589,0.0570887445887446,0.0527304191582517
"late","9","2017",24,251,1.25135068464644e-73,0.512331797517715,2.59260696559146e-06,0.585112031497143,0.174,0.174,3.10496294972797e-05,0.627482111609865,0.0339530135725788,0.0301838331735049
"middle","4","2007",30,192,3.32089046691547e-52,0.539363476083889,3.39449423938888e-06,0.657192354712483,0.981,0.981,6.74506457697874e-07,0.603067559294997,0.022381284105422,0.0262396290821011
"middle","4","2008",41,199,1.44873479081371e-54,0.536354841827403,1.41586338840754e-07,0.680693714382184,1,1,1.86327107066378e-09,0.593212617720054,0.0134959349593496,0.0199003090025264
"middle","4","2009",35,209,9.20923739910607e-61,0.516116188860732,8.35979061864594e-08,0.627735964927234,0.678,0.678,8.91959174946698e-08,0.603391526140152,0.0187592653954493,0.0219504257970403
"middle","4","2010",27,163,4.43349171665211e-47,0.519546242201415,2.98810714559071e-05,0.679864054950248,0.953,0.953,6.91219230501453e-06,0.614371123076501,0.0204926700024739,0.0264279473267897
"middle","4","2011",30,187,1.11783013442452e-52,0.527453074163135,1.18151583578411e-05,0.685090562467703,1,1,7.21987546145428e-07,0.607399897618381,0.018482571068778,0.0261152277590711
"middle","4","2012",11,93,2.60983303702868e-24,0.557718679703742,0.0492900330849955,0.76060630134362,0.972,0.972,0.0143275819702504,0.661514779738113,0.0339393939393939,0.0577239565062874
"middle","4","2013",12,97,4.95096249957055e-26,0.548429126578481,0.0331863044503191,0.752916083420059,0.977,0.977,0.00889489189327888,0.656013776867916,0.0330808080808081,0.0548839545217009
"middle","4","2014",20,186,3.0084414189556e-51,0.535030056824913,0.000599795216402481,0.690081126716961,0.953,0.953,0.000178134060273315,0.630469170903597,0.0253863826232247,0.036014859114045
"middle","4","2016",13,137,1.0469841488709e-38,0.528169459733388,0.00667816914322845,0.680245934617782,0.571,0.571,0.00812909950847246,0.666429211749544,0.0464324811490803,0.0465729555522908
"middle","4","2017",31,192,1.25560749366299e-54,0.523919863241539,9.420148477681e-08,0.593412515346878,0.388,0.388,8.3169136709546e-07,0.612357431451774,0.0221710992243952,0.0245389156853569
"late","7","2007",27,218,2.56277639379315e-58,0.544276738808226,6.19522876410997e-05,0.69847404433465,0.999,0.999,3.25516523753407e-06,0.615281043724252,0.0191239316239316,0.0293371317887922
"late","7","2008",58,249,1.05634489208596e-71,0.518746337062116,3.72110139176973e-13,0.610521879908082,0.937,0.937,9.86719178748456e-14,0.578913573902272,0.0128211472060445,0.0149641682689233
"late","7","2009",44,241,1.19575454784955e-66,0.532676141207611,2.58827908002507e-09,0.638030090792007,0.998,0.998,2.19290273238929e-10,0.589160414957711,0.0160918883750556,0.019258653594346
"late","7","2010",33,254,5.09982833962034e-72,0.523987690742191,9.02687957557927e-08,0.611690089094718,0.549,0.549,1.45562416722266e-07,0.603288412808273,0.0217572686322686,0.0239526947972076
"late","7","2011",32,232,2.19240632846319e-65,0.526377204735673,1.50584686221498e-07,0.612076422058681,0.6,0.6,1.6988680720749e-07,0.602059022375477,0.0247017064383319,0.0253639875531906
"late","7","2012",11,189,5.97345685671078e-49,0.555709415503879,0.0262209188917689,0.718192257407222,0.954,0.954,0.010958567892197,0.652988491707494,0.0491253443526171,0.0648418801857065
"late","7","2013",32,219,1.43332296127603e-58,0.544344347020385,7.37041205415562e-07,0.64321937506554,0.973,0.973,1.73397912065187e-07,0.603958369389677,0.0228965706047063,0.025779165149637
"late","7","2014",20,207,1.08112858740515e-53,0.554785384555391,0.000224527036028016,0.65699706911835,0.888,0.888,0.000121774275229548,0.627500091472025,0.0339505012531328,0.038259071790395
"late","7","2016",7,162,8.03902954415991e-40,0.573685794964822,0.115529925687418,0.734681685077971,0.912,0.912,0.0669675089038866,0.669074682246782,0.0825396825396825,0.100645716792858
"late","7","2017",25,242,2.74742940908707e-69,0.520822549438436,4.42076067408314e-06,0.610688694590593,0.34,0.34,1.13532357433533e-05,0.619203257947399,0.0286921130891719,0.0303456205937345
"late","8","2007",22,154,4.63347203653294e-41,0.54712971498992,0.000628616255909349,0.71527339756609,1,1,3.35592111595253e-05,0.614493777516162,0.0211399711399711,0.0351847487120943
"late","8","2008",42,184,3.43334809415295e-52,0.525173512879494,3.43730838474485e-08,0.664187834442755,0.999,0.999,1.21790989975273e-09,0.595270887159989,0.0139762409028652,0.0191634419851089
