"comm","param","n_sp_pruned","n_sp_pool","mean_comp_strength_pool","mean_comp_strength","Omega_pool","omega_pool","Omega_obs","omega_obs","Omega_percentile","omega_percentile","Omega_expect_comm","omega_expect_comm","comp_strength_expect"
1,0.1,9,20,0.100000000178721,0.0673599462027867,2.79034088234699e-15,0.187190094314675,0.0302647490253781,0.677977421253327,0.934,0.934,0.00836311903021223,0.532986220311666,0.0992338932051215
1,0.1,11,20,0.100000000178721,0.0798708829093286,2.79034088234699e-15,0.187190094314675,0.00178049148832371,0.562404882041085,0.894,0.894,0.000677022882334837,0.465008128333282,0.0988314354668032
1,0.1,8,20,0.100000000178721,0.0398572342532225,2.79034088234699e-15,0.187190094314675,0.20696638111935,0.821272868487455,0.998,0.998,0.0240449494871283,0.569647207774356,0.100364766094986
1,0.1,11,20,0.100000000178721,0.0586616380146517,2.79034088234699e-15,0.187190094314675,0.00941418088231424,0.654332380690507,0.992,0.992,0.00072661410125103,0.464240832952587,0.0991618374010724
1,0.1,9,20,0.100000000178721,0.0577375702573727,2.79034088234699e-15,0.187190094314675,0.031112901670748,0.680062685758002,0.952,0.952,0.00743913368444862,0.522366038704315,0.102357113723079
1,0.1,10,20,0.100000000178721,0.0515751149439929,2.79034088234699e-15,0.187190094314675,0.0350401357792153,0.715247878040598,0.998,0.998,0.00261129914159121,0.497431226545423,0.0997568765048523
1,0.1,11,20,0.100000000178721,0.0698370502683086,2.79034088234699e-15,0.187190094314675,0.00527887436882823,0.620809426046534,0.986,0.986,0.000636787267614642,0.465124009388413,0.0989105457610708
1,0.1,10,20,0.100000000178721,0.0566205252793086,2.79034088234699e-15,0.187190094314675,0.0213280561883129,0.680604988005673,0.992,0.992,0.00234926601706553,0.495489895563938,0.0997314568287889
1,0.1,9,20,0.100000000178721,0.0546129472706424,2.79034088234699e-15,0.187190094314675,0.0629183569404763,0.735412181301769,0.992,0.992,0.00806902507411922,0.529592549841711,0.100033640665194
1,0.1,10,20,0.100000000178721,0.0790767921804017,2.79034088234699e-15,0.187190094314675,0.00567185969788545,0.596173335635205,0.904,0.904,0.00206880345371077,0.488476494644703,0.101489437370086
1,0.1,9,20,0.100000000178721,0.0456063831817957,2.79034088234699e-15,0.187190094314675,0.101340587102184,0.775410166262556,1,1,0.00829913649065226,0.528860791618643,0.100867326127575
1,0.1,12,20,0.100000000178721,0.0880470862417175,2.79034088234699e-15,0.187190094314675,0.00019224621301166,0.490141508195052,0.83,0.83,0.000144715758669023,0.433030699124774,0.099302479053999
1,0.1,13,20,0.100000000178721,0.0844474657286459,2.79034088234699e-15,0.187190094314675,6.53948986315384e-05,0.476561286291534,0.92,0.92,2.53010554731833e-05,0.401919796931181,0.100239270078826
1,0.1,9,20,0.100000000178721,0.0431788267147473,2.79034088234699e-15,0.187190094314675,0.107937204098753,0.780862512522442,0.998,0.998,0.00824217090171493,0.526683985224176,0.101463586513002
1,0.1,10,20,0.100000000178721,0.0759267241459568,2.79034088234699e-15,0.187190094314675,0.00416351288625465,0.578024160087504,0.842,0.842,0.00248798802995206,0.494591478605883,0.0996856156445883
1,0.1,9,20,0.100000000178721,0.0511863335657611,2.79034088234699e-15,0.187190094314675,0.0742526219044225,0.749071946495258,0.994,0.994,0.00839985314076795,0.537756348129118,0.0979912420688098
1,0.1,12,20,0.100000000178721,0.0618528351148643,2.79034088234699e-15,0.187190094314675,0.00281209432842241,0.612941683788612,0.996,0.996,0.000161566647045067,0.434771111843467,0.0988943411625655
1,0.1,8,20,0.100000000178721,0.0329617070281192,2.79034088234699e-15,0.187190094314675,0.280717003070987,0.853166098286266,1,1,0.024958767622948,0.57498349381451,0.0988293427950779
1,0.1,6,20,0.100000000178721,0.0437022927547063,2.79034088234699e-15,0.187190094314675,0.356683009310263,0.842132452482715,0.918,0.918,0.13997643254833,0.663933841205121,0.101055903040971
1,0.1,11,20,0.100000000178721,0.053812346966002,2.79034088234699e-15,0.187190094314675,0.0137794600090867,0.677390795049464,1,1,0.000661363627464824,0.464379400759198,0.0987967936635158
1,0.1,8,20,0.100000000178721,0.0745191876210813,2.79034088234699e-15,0.187190094314675,0.0427042440401275,0.674231253080902,0.8,0.8,0.0237583872063398,0.568062179962572,0.101308489788809
1,0.1,9,20,0.100000000178721,0.0558825557804411,2.79034088234699e-15,0.187190094314675,0.0548937024150105,0.724347469189492,0.994,0.994,0.0068467853496018,0.521501383281737,0.102212944486683
1,0.1,11,20,0.100000000178721,0.0873692665437735,2.79034088234699e-15,0.187190094314675,0.000522291086143384,0.503069999995067,0.76,0.76,0.000546538686915154,0.456028210468426,0.101350245652691
1,0.1,10,20,0.100000000178721,0.0667667753412329,2.79034088234699e-15,0.187190094314675,0.00951134665399374,0.627804177224852,0.94,0.94,0.00243089306590032,0.49056099238747,0.101507029247774
1,0.1,9,20,0.100000000178721,0.0573770849068792,2.79034088234699e-15,0.187190094314675,0.0497803251618087,0.716520526851774,0.984,0.984,0.00832226622090174,0.532903227533453,0.0991528550608879
1,0.1,11,20,0.100000000178721,0.0645419989759611,2.79034088234699e-15,0.187190094314675,0.0071323839833727,0.638027678843523,0.992,0.992,0.000552542969120562,0.457195199949455,0.100739226223393
1,0.1,6,20,0.100000000178721,0.0279024777182797,2.79034088234699e-15,0.187190094314675,0.558261151137232,0.907415585820715,0.994,0.994,0.139976344602228,0.666886092297255,0.0987258179792169
1,0.1,8,20,0.100000000178721,0.0530331442764169,2.79034088234699e-15,0.187190094314675,0.115576119450084,0.763586978231059,0.984,0.984,0.0223699003911686,0.566146745734422,0.101410695332017
1,0.1,11,20,0.100000000178721,0.0562095221731147,2.79034088234699e-15,0.187190094314675,0.0115169801033573,0.666435396929847,0.996,0.996,0.000626242916565315,0.46057493712475,0.100316622083061
1,0.1,10,20,0.100000000178721,0.0643757790361714,2.79034088234699e-15,0.187190094314675,0.0174258346163961,0.66699005542587,0.982,0.982,0.00236586125066041,0.496677433695778,0.0991348885144297
1,0.1,12,20,0.100000000178721,0.0855629343296593,2.79034088234699e-15,0.187190094314675,0.000216511691384901,0.495020798140746,0.83,0.83,0.000136500703079793,0.429956580770164,0.100399906194661
1,0.1,10,20,0.100000000178721,0.0651346127068582,2.79034088234699e-15,0.187190094314675,0.0133576024280118,0.649490572105387,0.966,0.966,0.00239742118517034,0.493661181427063,0.0998594064914768
1,0.1,13,20,0.100000000178721,0.0853469293831641,2.79034088234699e-15,0.187190094314675,3.98046933033962e-05,0.458704928422662,0.828,0.828,3.14507263576681e-05,0.408772023201529,0.0984847452259805
1,0.1,11,20,0.100000000178721,0.0768467031131854,2.79034088234699e-15,0.187190094314675,0.00116189442704954,0.540999632232939,0.89,0.89,0.000586791280285478,0.452274684845011,0.102212179464345
1,0.1,8,20,0.100000000178721,0.0708286436529808,2.79034088234699e-15,0.187190094314675,0.0425576980066782,0.673941602195767,0.816,0.816,0.0237812612374482,0.570724881039778,0.100235146428544
1,0.1,10,20,0.100000000178721,0.068735518003497,2.79034088234699e-15,0.187190094314675,0.00515508600772576,0.590505016680532,0.884,0.884,0.0023147985806424,0.490142521595994,0.100767876309271
1,0.1,8,20,0.100000000178721,0.0479062051781261,2.79034088234699e-15,0.187190094314675,0.153068166114611,0.790880030522033,0.99,0.99,0.0241093259321549,0.570788995973645,0.09975058665095
1,0.1,7,20,0.100000000178721,0.0349680985044611,2.79034088234699e-15,0.187190094314675,0.361150287115451,0.864594694800782,0.99,0.99,0.0640671324971033,0.616511309859552,0.0989804151603545
1,0.1,6,20,0.100000000178721,0.0371924239825903,2.79034088234699e-15,0.187190094314675,0.45581072368958,0.877264906336364,0.982,0.982,0.139038512484812,0.66765980059794,0.100044593337502
1,0.1,12,20,0.100000000178721,0.0768270413174208,2.79034088234699e-15,0.187190094314675,0.000499180526159212,0.530706983970024,0.946,0.946,0.000121923548681622,0.429370265251721,0.100098864345135
1,0.1,10,20,0.100000000178721,0.0743685412146911,2.79034088234699e-15,0.187190094314675,0.00328532717455483,0.56449209245105,0.798,0.798,0.00227337897171721,0.493336586521633,0.100459027691189
1,0.1,11,20,0.100000000178721,0.0956397246040952,2.79034088234699e-15,0.187190094314675,0.000405463999047555,0.49162281274504,0.658,0.658,0.000694853145242747,0.462007038949355,0.10019294457698
1,0.1,10,20,0.100000000178721,0.0784873910715827,2.79034088234699e-15,0.187190094314675,0.00263531986239037,0.552183383470051,0.772,0.772,0.00229579542940717,0.492001276008811,0.0999576757705194
